purchase_id,purchase_date,supplier_name,category,amount_try,lead_time_days,status
PO-0001,2025-01-26,Synthetic Supplier 01,SPARE_PARTS,120000,13,COMPLETED
PO-0002,2025-02-06,Synthetic Supplier 02,SPARE_PARTS,125000,14,COMPLETED
PO-0003,2025-02-17,Synthetic Supplier 03,SPARE_PARTS,130000,15,COMPLETED
PO-0004,2025-02-28,Synthetic Supplier 04,SPARE_PARTS,135000,16,COMPLETED
PO-0005,2025-03-11,Synthetic Supplier 05,SPARE_PARTS,140000,17,COMPLETED
PO-0006,2025-03-22,Synthetic Supplier 06,SPARE_PARTS,145000,12,COMPLETED
PO-0007,2025-04-02,Synthetic Supplier 07,SPARE_PARTS,150000,13,COMPLETED
PO-0008,2025-04-13,Synthetic Supplier 08,SPARE_PARTS,155000,14,COMPLETED
PO-0009,2025-04-24,Synthetic Supplier 09,SPARE_PARTS,160000,15,COMPLETED
PO-0010,2025-05-05,Synthetic Supplier 10,SPARE_PARTS,165000,16,COMPLETED
PO-0011,2025-05-16,Synthetic Supplier 11,SPARE_PARTS,170000,17,COMPLETED
PO-0012,2025-05-27,Synthetic Supplier 12,SPARE_PARTS,175000,12,COMPLETED
PO-0013,2025-06-07,Synthetic Supplier 13,SPARE_PARTS,178000,13,COMPLETED
PO-0014,2025-06-18,Synthetic Supplier 14,SPARE_PARTS,180000,14,COMPLETED
PO-0015,2025-06-29,Synthetic Supplier 15,SPARE_PARTS,182000,15,COMPLETED
PO-0016,2025-07-10,Synthetic Supplier 16,SPARE_PARTS,184500,16,COMPLETED
PO-0017,2025-07-21,Synthetic Supplier 17,SPARE_PARTS,186000,17,COMPLETED
PO-0018,2025-08-01,Synthetic Supplier 18,SPARE_PARTS,188000,12,COMPLETED
PO-0019,2025-08-12,Synthetic Supplier 19,SPARE_PARTS,190000,13,COMPLETED
PO-0020,2025-08-23,Synthetic Supplier 20,SPARE_PARTS,192000,14,COMPLETED
PO-0021,2025-09-03,Synthetic Supplier 21,SPARE_PARTS,195000,15,COMPLETED
PO-0022,2025-09-14,Synthetic Supplier 22,SPARE_PARTS,198000,16,COMPLETED
PO-0023,2025-09-25,Synthetic Supplier 23,SPARE_PARTS,200000,17,COMPLETED
PO-0024,2025-10-06,Synthetic Supplier 24,SPARE_PARTS,205000,12,COMPLETED
PO-0025,2025-10-17,Synthetic Supplier 25,SPARE_PARTS,210000,13,COMPLETED
PO-0026,2025-10-28,Synthetic Supplier 26,SPARE_PARTS,215000,14,COMPLETED
PO-0027,2025-11-08,Synthetic Supplier 27,SPARE_PARTS,220000,15,COMPLETED
PO-0028,2025-11-19,Synthetic Supplier 28,SPARE_PARTS,225000,16,COMPLETED
PO-0029,2025-11-30,Synthetic Supplier 29,SPARE_PARTS,230000,17,COMPLETED
PO-0030,2025-12-11,Synthetic Supplier 30,SPARE_PARTS,240000,12,COMPLETED
PO-0031,2025-12-22,Synthetic Supplier 31,SPARE_PARTS,250000,13,COMPLETED
PO-1001,2026-02-01,Office One,OFFICE_SUPPLIES,45000,5,COMPLETED
PO-1002,2026-03-01,Office Two,OFFICE_SUPPLIES,52000,6,COMPLETED
